model,scenario_id,n_masts,shapley_source_evidence,shapley_sensor_visibility,shapley_wind_error_sensitivity,featval_source_evidence,featval_sensor_visibility,featval_wind_error_sensitivity,v_all_maps,v_no_maps,efficiency_residual
DeepSets,ch4t-test-000607,5,0.475894,0.147516,-0.226031,0.822090,0.404731,0.669843,-5.233670,-5.631049,0.000e+00
DeepSets,ch4t-test-000608,7,1.712734,-0.166586,-0.009337,0.608907,0.348894,0.535790,-8.575510,-10.112320,0.000e+00
DeepSets,ch4t-test-000609,8,1.838662,0.467141,-0.754146,0.474621,-0.304218,0.487400,-4.132202,-5.683859,2.220e-16
DeepSets,ch4t-test-000610,6,1.323380,-0.048285,-0.140755,1.686755,0.698133,0.614087,-6.513938,-7.648278,0.000e+00
DeepSets,ch4t-test-000611,5,1.686580,0.076151,-0.385667,0.199391,0.821805,0.302323,-3.681981,-5.059045,0.000e+00
DeepSets,ch4t-test-000612,8,2.290896,-0.359959,-0.264617,1.658789,1.020176,0.613166,-2.956564,-4.622883,0.000e+00
DeepSets,ch4t-test-000613,7,-0.044072,0.606684,-0.091346,0.015929,0.410865,0.179042,-6.796546,-7.267811,0.000e+00
DeepSets,ch4t-test-000614,5,0.518715,0.470836,0.193982,0.051753,1.101540,0.329398,-3.525930,-4.709463,0.000e+00
DeepSets,ch4t-test-000615,7,0.237673,0.533323,0.307125,0.083736,0.155890,0.408464,-7.977354,-9.055476,0.000e+00
DeepSets,ch4t-test-000616,6,1.599332,0.352499,-0.429981,0.434877,0.120900,0.390536,-4.192984,-5.714834,0.000e+00
DeepSets,ch4t-test-000617,4,-0.032653,-0.159190,-0.218599,0.659240,-0.748981,0.813721,-5.319587,-4.909146,0.000e+00
DeepSets,ch4t-test-000618,5,1.069056,0.463300,-0.348133,0.792523,-0.453728,1.708526,-5.972135,-7.156358,0.000e+00
DeepSets,ch4t-test-000619,4,0.111477,0.213437,-0.006193,-0.060180,-0.479371,0.134694,-8.587209,-8.905930,0.000e+00
DeepSets,ch4t-test-000620,7,0.312753,-0.012976,0.261272,0.525661,1.398820,0.959086,-7.431869,-7.992918,0.000e+00
DeepSets,ch4t-test-000621,5,0.245196,0.014043,-0.060384,0.246658,-0.873746,0.687602,-5.311604,-5.510458,0.000e+00
DeepSets,ch4t-test-000622,7,1.992521,-0.060042,-0.556773,1.857608,0.966053,1.973350,-3.675688,-5.051394,4.441e-16
DeepSets,ch4t-test-000623,5,1.395563,-0.092181,-0.236938,1.268037,1.112903,0.833093,-5.551398,-6.617841,0.000e+00
DeepSets,ch4t-test-000624,5,-0.074150,0.178836,0.017572,0.006964,-0.523630,0.115977,-8.320750,-8.443008,0.000e+00
DeepSets,ch4t-test-000625,7,1.117864,0.064501,0.118233,0.105561,0.785045,0.333090,-5.430583,-6.731182,0.000e+00
DeepSets,ch4t-test-000626,6,0.956555,0.573158,0.031383,0.046266,0.788822,0.206184,-7.328036,-8.889133,0.000e+00
DeepSets,ch4t-test-000627,7,1.080535,0.426041,-0.580894,0.542225,1.213044,1.144156,-4.531710,-5.457392,1.110e-16
DeepSets,ch4t-test-000628,6,0.843779,0.177823,-0.067801,0.091785,0.689246,0.120726,-8.112004,-9.065805,0.000e+00
DeepSets,ch4t-test-000629,7,0.481141,-0.211732,-0.023152,0.065801,0.751129,0.186775,-6.554428,-6.800685,8.327e-17
DeepSets,ch4t-test-000630,7,3.161120,0.757765,-3.749846,3.494854,0.653876,4.425694,-7.075860,-7.244899,5.551e-16
DeepSets,ch4t-test-000631,5,0.464073,0.334084,-0.081832,0.460425,0.116094,0.343870,-4.768840,-5.485164,0.000e+00
DeepSets,ch4t-test-000632,4,-0.126505,-0.275654,0.505846,0.329203,0.143454,0.790378,-6.441286,-6.544972,0.000e+00
DeepSets,ch4t-test-000633,7,0.070358,0.077562,0.211384,-0.031835,0.182758,0.140751,-7.117002,-7.476306,0.000e+00
DeepSets,ch4t-test-000634,7,3.265178,0.638136,-1.507709,0.980592,0.452193,1.158592,-3.668928,-6.064533,4.441e-16
DeepSets,ch4t-test-000635,8,-0.336934,-0.741832,0.305271,0.185546,0.640586,0.219898,-7.695164,-6.921669,1.110e-16
DeepSets,ch4t-test-000636,7,1.040691,0.020678,-0.197277,0.952587,0.497626,1.128247,-5.978937,-6.843028,0.000e+00
DeepSets,ch4t-test-000637,4,-0.616836,-0.701151,0.543381,0.348175,-0.001532,0.593502,-6.587036,-5.812430,0.000e+00
DeepSets,ch4t-test-000638,5,0.058493,0.144769,-0.114290,-0.005673,-0.420018,0.141354,-7.049368,-7.138340,1.388e-17
DeepSets,ch4t-test-000639,6,1.326981,0.628726,-0.725895,0.699374,0.527712,1.458707,-4.020005,-5.249817,2.220e-16
DeepSets,ch4t-test-000640,8,2.452323,-0.285261,-0.471993,1.455809,1.232124,0.664759,-4.920102,-6.615171,0.000e+00
DeepSets,ch4t-test-000641,5,0.690226,0.288425,0.708753,0.818177,-0.268576,1.863705,-5.095401,-6.782804,0.000e+00
DeepSets,ch4t-test-000642,5,2.180786,-0.256531,-0.342553,0.620306,-0.065018,0.503202,-3.490853,-5.072554,2.220e-16
DeepSets,ch4t-test-000643,8,0.915633,-0.146044,-0.775235,1.280129,1.142406,0.929857,-8.255193,-8.249548,5.551e-17
DeepSets,ch4t-test-000644,6,0.930315,-0.378898,-0.352378,1.363736,1.098475,0.580077,-6.677149,-6.876188,1.110e-16
DeepSets,ch4t-test-000645,7,-0.049897,-0.632848,1.176321,0.356782,0.846542,0.890637,-6.556621,-7.050197,0.000e+00
DeepSets,ch4t-test-000646,5,0.847031,-1.241796,-0.044791,-0.046621,0.553738,0.110769,-11.828841,-11.389285,1.110e-16
DeepSets,ch4t-test-000647,4,0.523072,0.002720,-0.061361,0.576214,0.627637,0.296850,-4.146924,-4.611355,0.000e+00
DeepSets,ch4t-test-000648,8,0.839039,-0.067074,-0.267998,1.764705,0.392432,1.586200,-5.703988,-6.207955,0.000e+00
DeepSets,ch4t-test-000649,7,1.756619,-0.470070,2.010521,0.350359,-0.032815,1.023918,-5.411872,-8.708942,4.441e-16
DeepSets,ch4t-test-000650,6,0.591310,0.397945,-0.083564,0.296549,0.594121,0.231018,-6.383373,-7.289064,1.110e-16
DeepSets,ch4t-test-000651,7,1.472723,0.274502,-0.063746,0.709515,-0.498975,0.963312,-3.402997,-5.086476,2.220e-16
DeepSets,ch4t-test-000652,8,1.902326,-0.258080,-0.500447,0.618730,1.097392,0.686529,-4.289262,-5.433061,2.220e-16
DeepSets,ch4t-test-000653,5,3.133679,-0.575556,-0.563039,1.077742,0.095310,0.835313,-3.970074,-5.965159,0.000e+00
DeepSets,ch4t-test-000654,4,0.086107,-0.206384,-0.928228,0.571724,0.081508,1.650883,-7.189406,-6.140901,0.000e+00
DeepSets,ch4t-test-000655,6,0.579062,0.121270,-0.011207,0.433288,0.897685,0.189802,-5.167821,-5.856945,0.000e+00
DeepSets,ch4t-test-000656,5,0.059734,0.577234,0.100523,-0.000845,0.654669,0.152260,-7.547465,-8.284955,0.000e+00
DeepSets,ch4t-test-000657,4,0.417489,0.139004,-0.514148,0.293846,0.976689,0.684506,-6.223633,-6.265978,2.776e-17
DeepSets,ch4t-test-000658,6,0.403317,-0.020852,-0.152470,0.976094,1.068166,0.560902,-5.302232,-5.532227,2.776e-17
DeepSets,ch4t-test-000659,4,0.011204,0.163722,-0.052413,-0.007972,-1.808304,0.110686,-7.517675,-7.640188,0.000e+00
DeepSets,ch4t-test-000660,4,0.667076,0.531390,0.762704,0.121708,1.158532,0.447207,-5.149225,-7.110395,0.000e+00
DeepSets,ch4t-test-000661,8,0.188634,-2.340917,0.431748,0.024274,-0.731426,0.131252,-10.480649,-8.760114,2.220e-16
DeepSets,ch4t-test-000662,5,0.280763,-0.025027,0.398755,0.392251,1.183492,0.793696,-4.540449,-5.194940,0.000e+00
DeepSets,ch4t-test-000663,7,2.122487,0.700856,-1.349803,0.212461,-0.216870,0.603085,-5.102647,-6.576187,0.000e+00
DeepSets,ch4t-test-000664,4,1.801732,0.935798,-1.926392,1.254438,0.503843,1.660972,-5.655222,-6.466359,1.110e-16
DeepSets,ch4t-test-000665,5,0.012691,0.077300,-0.062690,-0.014288,-1.581157,0.136804,-6.593714,-6.621015,6.939e-18
DeepSets,ch4t-test-000666,7,0.865259,-0.098582,-0.194696,1.253112,0.905732,0.560898,-4.601564,-5.173545,0.000e+00
DeepSets,ch4t-test-000667,6,0.005197,0.695465,-0.091872,-0.006126,0.554850,0.171798,-7.595674,-8.204464,1.110e-16
DeepSets,ch4t-test-000668,4,-0.078805,0.674782,-0.221393,0.129148,0.822024,0.197708,-8.933411,-9.307995,0.000e+00
DeepSets,ch4t-test-000669,7,0.220221,1.026307,-0.024163,0.053519,0.371754,0.143033,-8.997323,-10.219688,0.000e+00
DeepSets,ch4t-test-000670,8,-0.266541,-1.322638,0.389893,0.766694,0.335532,1.033032,-9.888366,-8.689079,0.000e+00
DeepSets,ch4t-test-000671,7,0.007780,-0.617107,0.951885,0.392252,1.045237,0.544076,-5.252928,-5.595485,0.000e+00
DeepSets,ch4t-test-000672,7,2.679030,-0.234152,-0.449807,0.804983,1.086736,0.720287,-3.305600,-5.300671,2.220e-16
DeepSets,ch4t-test-000673,7,1.001412,-0.026822,-0.275488,1.577606,0.925215,1.160659,-4.287058,-4.986160,0.000e+00
DeepSets,ch4t-test-000674,5,3.038461,0.543594,-0.530863,0.699592,0.083765,1.158796,-3.994692,-7.045884,4.441e-16
DeepSets,ch4t-test-000675,8,-0.066615,0.716177,-0.110815,0.019409,-0.106438,0.186338,-7.388912,-7.927658,0.000e+00
DeepSets,ch4t-test-000676,4,-0.273126,0.627107,0.161602,-0.067511,-0.234298,0.185300,-7.595849,-8.111433,0.000e+00
DeepSets,ch4t-test-000677,6,-0.005811,0.210387,-0.086092,-0.015473,-0.236728,0.132710,-6.201153,-6.319637,0.000e+00
DeepSets,ch4t-test-000678,8,0.937065,0.292533,-0.295682,0.625551,0.922359,0.622544,-4.642066,-5.575983,0.000e+00
DeepSets,ch4t-test-000679,4,0.029899,0.150186,-0.039263,0.567402,0.955915,0.471945,-6.264274,-6.405096,5.551e-17
DeepSets,ch4t-test-000680,8,0.197213,0.112622,0.089574,0.966243,1.235919,1.666725,-5.527312,-5.926721,0.000e+00
DeepSets,ch4t-test-000681,8,-1.493782,-1.269162,1.381003,0.469839,0.968941,0.591042,-6.559357,-5.177416,2.220e-16
DeepSets,ch4t-test-000682,6,0.313210,0.546887,0.011548,0.022444,0.968839,0.150135,-7.970215,-8.841860,0.000e+00
DeepSets,ch4t-test-000683,5,1.127678,-0.053346,-0.287830,1.041333,1.071066,0.660607,-6.494284,-7.280787,0.000e+00
DeepSets,ch4t-test-000684,6,0.802441,-0.036911,0.776742,0.322837,0.536735,0.794749,-4.503090,-6.045362,2.220e-16
DeepSets,ch4t-test-000685,4,1.790125,-0.513770,-0.356594,1.516791,0.889683,0.639378,-7.717630,-8.637391,2.220e-16
DeepSets,ch4t-test-000686,4,1.050571,0.000860,-0.004854,0.098331,0.890700,0.113131,-9.066428,-10.113004,0.000e+00
DeepSets,ch4t-test-000687,6,1.632255,0.254034,-0.229971,0.506286,0.853993,0.569338,-5.987433,-7.643752,0.000e+00
DeepSets,ch4t-test-000688,8,-0.025325,0.301452,0.010560,-0.002095,0.022419,0.177127,-8.669432,-8.956119,0.000e+00
DeepSets,ch4t-test-000689,7,1.256253,0.312399,-0.143715,0.319606,0.561495,0.286167,-4.499687,-5.924624,2.220e-16
DeepSets,ch4t-test-000690,8,0.539598,0.351166,0.002826,0.387675,0.915839,0.650906,-4.213046,-5.106636,1.110e-16
DeepSets,ch4t-test-000691,5,-0.132457,0.026762,-0.008303,0.027094,0.048294,0.095878,-11.751283,-11.637285,1.388e-17
DeepSets,ch4t-test-000692,8,2.221475,0.263473,-0.339547,0.645279,0.827196,1.888742,-4.415981,-6.561382,0.000e+00
DeepSets,ch4t-test-000693,6,0.438044,-0.101596,0.126540,0.580008,0.775220,1.115238,-6.288765,-6.751753,0.000e+00
DeepSets,ch4t-test-000694,4,0.930561,-0.019636,0.164598,0.087564,-0.226634,0.162902,-5.543033,-6.618556,0.000e+00
DeepSets,ch4t-test-000695,5,0.686715,-1.303092,0.433788,0.182643,-0.971641,0.351066,-11.598551,-11.415961,2.220e-16
DeepSets,ch4t-test-000696,4,0.814939,0.441021,0.016126,0.050560,0.843681,0.139843,-5.011293,-6.283379,0.000e+00
DeepSets,ch4t-test-000697,5,-0.066661,0.056860,-0.038590,0.074423,-0.067801,0.110130,-7.255584,-7.207193,2.082e-17
DeepSets,ch4t-test-000698,5,0.469305,0.288092,-0.093454,1.072149,-0.092331,1.202021,-4.332199,-4.996142,0.000e+00
DeepSets,ch4t-test-000699,8,-0.169095,-0.294732,1.499116,0.464708,0.547371,1.330853,-4.664935,-5.700224,2.220e-16
DeepSets,ch4t-test-000700,5,0.240846,0.294499,-0.008927,0.015506,0.892227,0.193327,-6.287736,-6.814154,1.110e-16
DeepSets,ch4t-test-000701,4,-0.054607,-0.420793,0.368976,0.086758,0.778927,0.220213,-5.735626,-5.629203,0.000e+00
DeepSets,ch4t-test-000702,5,0.648227,-0.037213,-0.063307,0.962915,0.874578,0.535164,-5.607761,-6.155467,0.000e+00
DeepSets,ch4t-test-000703,7,0.327708,0.583290,0.027593,-0.004464,0.998217,0.153703,-6.170754,-7.109345,0.000e+00
DeepSets,ch4t-test-000704,4,2.293940,0.868869,-0.240626,0.341678,0.639973,0.495000,-4.204714,-7.126898,0.000e+00
DeepSets,ch4t-test-000705,5,0.955958,0.109734,-0.193688,1.284875,1.163252,1.517329,-5.493879,-6.365884,1.110e-16
DeepSets,ch4t-test-000706,4,1.534467,-0.128312,-0.502255,0.380302,0.104490,0.425232,-3.451569,-4.355470,2.220e-16
